Name,Lat1,Lon1,Lat2,Lon2
"C54,C52",36.652949,-120.180991,36.38628,-119.785603
"C56,C59",36.371429,-119.099811,36.051739,-119.825585
"C56,HAR18",36.371429,-119.099811,36.152092,-119.15934
"C56,HSU404AC56",36.371429,-119.099811,36.312885,-119.485222
"C56,HSU405C56",36.371429,-119.099811,36.107749,-119.1833878
"C56,WTP405",36.371429,-119.099811,36.30858577,-119.3160476
"C57,C58",36.074013,-119.089061,36.074013,-119.089061
"C58,C59",36.074013,-119.089061,36.051739,-119.825585
"C58,HAR18",36.074013,-119.089061,36.152092,-119.15934
"C58,HSU405C58",36.074013,-119.089061,36.107749,-119.1833878
"C59,SR_TL",36.051739,-119.825585,36.079387,-119.723121
"C688,C57",36.171191,-119.059624,36.074013,-119.089061
"C688,HAR18",36.171191,-119.059624,36.152092,-119.15934
"C688,HSU405C688",36.171191,-119.059624,36.107749,-119.1833878
"C688,WTP405",36.171191,-119.059624,36.30858577,-119.3160476
"C76,C688",36.622163,-119.305256,36.171191,-119.059624
"C76,C89",36.622163,-119.305256,36.371429,-119.099811
"C76,HSU403C76",36.622163,-119.305256,36.61012803,-119.3127868
"C89,C56",36.371429,-119.099811,36.371429,-119.099811
"CVPM15AG,HGR15",36.28902669,-119.6807236,36.23436,-119.837142
"CVPM15AS,HSD404A",36.28902669,-119.6717404,36.262137,-119.664505
"CVPM15BG,HGR15",36.19390028,-119.7861426,36.23436,-119.837142
"CVPM15BS,HSD404B",36.19390028,-119.7771594,36.15417,-119.7854
"CVPM16G,HGR16",36.54535362,-119.7460716,36.708418,-119.799016
"CVPM17G,HGR17",36.61193073,-119.3262616,36.579017,-119.416802
"CVPM18G,HGR18",36.10956338,-119.1968626,36.150415,-119.216592
"D605,D606",36.865272,-119.803597,36.825709,-120.016457
"D606,HSU401D606",36.825709,-120.016457,36.54354936,-119.7325968
"EXT_CVPM17,HGR17",36.59440391,-119.4465826,36.579017,-119.416802
"EXT_CVPM18,HGR18",36.30315634,-119.3272766,36.150415,-119.216592
"EXT_FRESN,HGR16",36.74889214,-119.8241566,36.708418,-119.799016
