Name,Type,Latitude,Longitude
EXT_BAKER,Urban Demand,35.3718825979044,-119.012733576421
HNP410,Junction,35.3682200296048,-119.012733576421
HP410,Junction,35.3737138197281,-119.003750423579
HXI410,Junction,35.3737138197281,-119.012733576421
INT_BAKER,Urban Demand,35.3718825979044,-119.003750423579
U410,Junction,35.375545,-119.008242
WTP410,Water Treatment,35.377376138719,-119.001504635369
WWP410,Water Treatment,35.3682200296048,-119.008242
Ext_CVPM19,Urban Demand,35.3979837827854,-119.479554576421
INT_CVPM19,Urban Demand,35.3979837827853,-119.470571423579
U408,Junction,35.401645,-119.475063
EXT_CVPM20,Urban Demand,35.7600862989466,-119.248868576421
HNP407,Junction,35.7564414309177,-119.248868576421
HP407,Junction,35.7619086703457,-119.239885423579
HXI407,Junction,35.7619086703457,-119.248868576421
INT_CVPM20,Urban Demand,35.7600862989466,-119.239885423579
U407,Junction,35.763731,-119.244377
WTP407,Water Treatment,35.7655532879087,-119.237639635369
WWP407,Water Treatment,35.7564414309177,-119.244377
EXT_CVPM21,Urban Demand,35.2273840520516,-119.092319576421
INT_CVPM21,Urban Demand,35.2273840520516,-119.083336423579
U409,Junction,35.231053,-119.087828
A404A,Junction,36.292647,-119.676232
A404B,Junction,36.197525,-119.781651
CVPM15AG,Agricultural Demand,36.2890266863201,-119.680723576421
CVPM15AS,Agricultural Demand,36.2890266863201,-119.671740423579
CVPM15BG,Agricultural Demand,36.1939002775994,-119.786142576421
CVPM15BS,Agricultural Demand,36.1939002775994,-119.777159423579
A401,Junction,36.552570215888,-119.74158
CVPM16G,Agricultural Demand,36.5453536156634,-119.746071576421
CVPM16S,Agricultural Demand,36.5453536156634,-119.737088423579
HSD401,Junction,36.552570215888,-119.732596847159
HSU401C49,Junction,36.5435493603288,-119.732596847159
HSU401C53,Junction,36.5435493603288,-119.732596847159
HSU401D606,Junction,36.5435493603288,-119.732596847159
HU401,Junction,36.548962,-119.74158
A403,Junction,36.6191411054759,-119.32177
CVPM17G,Agricultural Demand,36.6119307259569,-119.326261576421
